Actor,Movie
Liam Neeson ,Episode 1: The Phantom Menace
Ewan McGregor,Episode 1: The Phantom Menace
Natalie Portman,Episode 1: The Phantom Menace
Jake Lloyd,Episode 1: The Phantom Menace
Ian McDiarmid,Episode 1: The Phantom Menace
Pernilla August,Episode 1: The Phantom Menace
Oliver Ford Davies,Episode 1: The Phantom Menace
Hugh Quarshie,Episode 1: The Phantom Menace
Ahmed Best,Episode 1: The Phantom Menace
Anthony Daniels,Episode 1: The Phantom Menace
Kenny Baker,Episode 1: The Phantom Menace
Frank Oz,Episode 1: The Phantom Menace
Terence Stamp,Episode 1: The Phantom Menace
Brian Blessed,Episode 1: The Phantom Menace
Andy Secombe,Episode 1: The Phantom Menace
Ewan McGregor,Episode 2: Attack of the Clones
Natalie Portman,Episode 2: Attack of the Clones
Hayden Christensen,Episode 2: Attack of the Clones
Christopher Lee,Episode 2: Attack of the Clones
Samuel L. Jackson,Episode 2: Attack of the Clones
Frank Oz,Episode 2: Attack of the Clones
Ian McDiarmid,Episode 2: Attack of the Clones
Pernilla August,Episode 2: Attack of the Clones
Temuera Morrison,Episode 2: Attack of the Clones
Jimmy Smits,Episode 2: Attack of the Clones
Jack Thompson,Episode 2: Attack of the Clones
Leeanna Walsman,Episode 2: Attack of the Clones
Ahmed Best,Episode 2: Attack of the Clones
Rose Byrne,Episode 2: Attack of the Clones
Oliver Ford Davies,Episode 2: Attack of the Clones
Ewan McGregor,Episode 3: Revenge of the Sith
Natalie Portman,Episode 3: Revenge of the Sith
Hayden Christensen,Episode 3: Revenge of the Sith
Ian McDiarmid,Episode 3: Revenge of the Sith
Samuel L. Jackson,Episode 3: Revenge of the Sith
Jimmy Smits,Episode 3: Revenge of the Sith
Frank Oz,Episode 3: Revenge of the Sith
Anthony Daniels,Episode 3: Revenge of the Sith
Christopher Lee,Episode 3: Revenge of the Sith
Keisha Castle-Hughes,Episode 3: Revenge of the Sith
Silas Carson,Episode 3: Revenge of the Sith
Jay Laga'aia,Episode 3: Revenge of the Sith
Bruce Spence,Episode 3: Revenge of the Sith
Wayne Pygram,Episode 3: Revenge of the Sith
Temuera Morrison,Episode 3: Revenge of the Sith
Mark Hamill,Episode 4: A New Hope
Harrison Ford,Episode 4: A New Hope
Carrie Fisher,Episode 4: A New Hope
Peter Cushing,Episode 4: A New Hope
Alec Guinness,Episode 4: A New Hope
Anthony Daniels,Episode 4: A New Hope
Kenny Baker,Episode 4: A New Hope
Peter Mayhew,Episode 4: A New Hope
David Prowse,Episode 4: A New Hope
Phil Brown,Episode 4: A New Hope
Shelagh Fraser,Episode 4: A New Hope
Jack Purvis,Episode 4: A New Hope
Alex McCrindle,Episode 4: A New Hope
Eddie Byrne,Episode 4: A New Hope
Drewe Henley,Episode 4: A New Hope
Mark Hamill,Episode 5: The Empire Strikes Back
Harrison Ford,Episode 5: The Empire Strikes Back
Carrie Fisher,Episode 5: The Empire Strikes Back
Billy Dee Williams,Episode 5: The Empire Strikes Back
Anthony Daniels,Episode 5: The Empire Strikes Back
David Prowse,Episode 5: The Empire Strikes Back
Peter Mayhew,Episode 5: The Empire Strikes Back
Kenny Baker,Episode 5: The Empire Strikes Back
Frank Oz,Episode 5: The Empire Strikes Back
Alec Guinness,Episode 5: The Empire Strikes Back
Jeremy Bulloch,Episode 5: The Empire Strikes Back
John Hollis,Episode 5: The Empire Strikes Back
Jack Purvis,Episode 5: The Empire Strikes Back
Des Webb,Episode 5: The Empire Strikes Back
Clive Revill,Episode 5: The Empire Strikes Back
Mark Hamill,Episode 6: Return of the Jedi
Harrison Ford,Episode 6: Return of the Jedi
Carrie Fisher,Episode 6: Return of the Jedi
Billy Dee Williams,Episode 6: Return of the Jedi
Anthony Daniels,Episode 6: Return of the Jedi
Peter Mayhew,Episode 6: Return of the Jedi
Sebastian Shaw,Episode 6: Return of the Jedi
Ian McDiarmid,Episode 6: Return of the Jedi
Frank Oz,Episode 6: Return of the Jedi
James Earl Jones,Episode 6: Return of the Jedi
David Prowse,Episode 6: Return of the Jedi
Alec Guinness,Episode 6: Return of the Jedi
Kenny Baker,Episode 6: Return of the Jedi
Michael Pennington,Episode 6: Return of the Jedi
Kenneth Colley,Episode 6: Return of the Jedi
